,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
225,3,0.7222222222222222,1.0,1.0,1.0,3.698285147733501,5.404847435927186,3.8512522201693304
226,3,0.7222222222222222,,,,,,
227,3,0.7222222222222222,0.75,1.0,0.875,3.65678588531419,5.438961620556788,3.701258884325522
228,3,0.7222222222222222,1.0,1.0,1.0,3.8454650418853578,5.785163011984477,3.8510518043681046
229,3,0.7222222222222222,1.0,,0.875,3.629611790531264,,4.196577129852418
230,3,0.7222222222222222,1.0,0.75,1.0,3.903213382619597,5.638762656045426,3.9596415957010658
231,3,0.7222222222222222,0.875,1.0,1.0,3.397212619113545,4.826678593740702,3.619112393553394
232,3,0.7222222222222222,0.5,0.75,0.75,3.680579530068861,5.267732811041359,4.115434168461115
233,3,0.7222222222222222,,,1.0,,,4.558883266496824
234,3,0.7222222222222222,1.0,,0.75,3.61481203967561,,3.964811149796404
235,3,0.7222222222222222,1.0,1.0,0.75,3.964993443612211,5.331764029413387,4.106652859383337
236,3,0.7222222222222222,0.875,0.75,0.8333333333333334,3.5606609435982994,4.861463526129021,3.671717286520209
237,3,0.7222222222222222,0.75,,1.0,3.712410779240741,,3.901356611078554
238,3,0.7222222222222222,1.0,,1.0,3.8282378781539936,,4.090176285229665
239,3,0.7222222222222222,1.0,0.9166666666666666,1.0,3.713142171800462,5.561999172611057,3.98943394461218
240,3,0.7222222222222222,1.0,,1.0,3.6168226080395574,,3.998262462192039
241,3,0.7222222222222222,1.0,,0.9166666666666666,3.740130044695141,,3.998455684527246
242,3,0.7222222222222222,1.0,1.0,1.0,4.065286666756577,5.657010644337218,4.449183581346224
243,3,0.7222222222222222,1.0,1.0,1.0,4.011730737088582,6.142355072729853,4.144470111842486
244,3,0.7222222222222222,,,,,,
245,3,0.7222222222222222,,,0.75,,,4.392732251686
246,3,0.7222222222222222,1.0,1.0,1.0,3.8582060244235703,5.403642248521852,4.322050564205982
247,3,0.7222222222222222,0.875,0.5,0.875,3.5338441920174297,5.126559597628457,3.9070080939300142
248,3,0.7222222222222222,1.0,,1.0,3.847746719081017,,4.195407573279351
249,3,0.7222222222222222,,,0.75,,,4.262968950793903
250,3,0.7222222222222222,1.0,1.0,,3.8276046642842996,5.910932041608345,
251,3,0.7222222222222222,,,1.0,,,4.331947416402955
252,3,0.7222222222222222,0.875,1.0,1.0,3.416042981379981,4.941465856824463,3.590705093360598
253,3,0.7222222222222222,1.0,,1.0,3.687689772013489,,3.7401978874289563
254,3,0.7222222222222222,1.0,1.0,1.0,3.6815354604392168,5.301619193390515,3.938196164579405
255,3,0.7222222222222222,1.0,0.75,0.875,3.6965098719245773,5.358724135773949,4.018701307634375
256,3,0.7222222222222222,0.875,1.0,0.875,3.8234709947289853,5.4566380284761475,4.046501740280258
257,3,0.7222222222222222,0.75,1.0,,3.651578235392309,5.366437735161011,
258,3,0.7222222222222222,1.0,0.875,1.0,3.769482184909557,5.18041503362859,3.9869388694384513
259,3,0.7222222222222222,1.0,,0.875,3.5600188537584323,,3.985070281119948
260,3,0.7222222222222222,0.75,,1.0,3.8647598317523935,,4.3069821458442465
261,3,0.7222222222222222,1.0,1.0,0.8333333333333334,3.7732182251794177,5.60510425176897,4.156147865919558
262,3,0.7222222222222222,,,,,,
263,3,0.7222222222222222,,,,,,
